date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:33:30	117/117	---MCZ	200	added ('OK')	text/plain	date:Sun,%2004%20Jan%202026%2015:33:07%20GMT	https://shine.creativemox.com/robots.txt		(from )
16:33:30	168534/168534	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jan%202026%2015:33:08%20GMT	https://shine.creativemox.com/petrolis/template-kit/homepage-2/	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/template-kit/homepage-2/index.html	(from )
16:33:31	1130/1130	---MCZ	200	added ('OK')	text/css	etag:W/%2246a-61e9b4b5b8b7a%22	https://shine.creativemox.com/petrolis/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public.css?ver=1.0.23	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/plugins/template-kit-export/assets/public/template-kit-export-public982a.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:31	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%22157d-62f074a20dd0e%22	https://shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/style.min9b70.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:31	5069/5069	---MCZ	200	added ('OK')	text/css	etag:W/%2213cd-62f074a20dd0e%22	https://shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/theme.min9b70.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:32	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%221c2c-62f074a20d53e%22	https://shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/themes/hello-elementor/header-footer.min9b70.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:32	53644/53644	---MCZ	200	added ('OK')	text/css	etag:W/%22d18c-64513e5b380a8%22	https://shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.33.2	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/css/frontend.min4bf6.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:32	14341/14341	---MCZ	200	added ('OK')	text/css	etag:W/%223805-6451acad60c68%22	https://shine.creativemox.com/petrolis/wp-content/uploads/sites/25/elementor/css/post-11.css?ver=1764831234	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/uploads/sites/25/elementor/css/post-11bc06.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:32	10430/10430	---MCZ	200	added ('OK')	text/css	etag:W/%2228be-64513e5b39818%22	https://shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.33.2	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/css/widget-icon-list.min4bf6.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
16:33:33	278/278	---MCZ	200	added ('OK')	text/css	etag:W/%22116-64513e5b5baf8%22	https://shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css?ver=3.33.2	C:/My%20Web%20Sites/walfa/shine.creativemox.com/petrolis/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min4bf6.css	(from https://shine.creativemox.com/petrolis/template-kit/homepage-2/)
